CÓDIGO;DISCIPLINA;TEORIA;PRÁTICA;INDIVIDUAL
MCZA004-13;Avaliação de Desempenho de Redes;3;1;4
ESTU002-13;Avaliação de Impactos Ambientais;4;0;3
ESHP003-13;Avaliação e Monitoramento de Políticas Públicas;2;2;4
NHT4072-15;Avaliação no Ensino de Química;3;0;4
ESZS004-13;Aviônica;4;0;4
MCTA005-13;Banco de Dados;4;0;4
MCZA005-13;Banco de Dados de Apoio à Tomada de Decisão;3;1;4
BCS0001-15;Base Experimental das Ciências Naturais;0;3;2
ESTB002-13;Bases Biológicas para Engenharia I;3;2;5
ESTB004-13;Bases Biológicas para Engenharia II;3;2;5
BIS0005-15;Bases Computacionais da Ciência;0;2;2
BIS0005-15;Bases Computacionais da Ciência;0;2;2
BIJ0207-15;Bases Conceituais da Energia;2;0;4
BIR0004-15;Bases Epistemológicas da Ciência Moderna;3;0;4
BIS0003-15;Bases Matemáticas;4;0;5
MCZC002-15;Bases Neurais da Motricidade;4;0;4
NHZ4060-15;Biocombustíveis e Biorrefinarias;4;0;4
BCL0306-15;Biodiversidade: Interações entre organismos e ambiente;3;0;4
ESZB001-13;Bioestatística;3;0;4
NHT1002-15;Bioética;2;0;2
NHZ1003-15;Biofísica;4;0;4
NHT1053-15;Biologia Celular;4;2;4
NHZ1008-15;Biologia do Desenvolvimento em Vertebrados;2;2;4
NHZ1009-15;Biologia Molecular e Biotecnologia;3;0;3
NHZ1076-15;Biologia Reprodutiva de Plantas;2;2;2
NHT1087-15;Biologia Vegetal;3;3;3
ESTU023-13;Biomas Brasileiros;2;1;3
ESZM032-13;Biomateriais;3;1;4
NHZ1077-15;Bioquímica Clínica;4;2;4
NHT4002-13;Bioquímica Experimental;2;4;6
NHT1013-15;Bioquímica Funcional;4;2;4
BCL0308-15;Bioquímica: estrutura, propriedade e funções de biomoléculas;3;2;6
ESTB013-13;Biossegurança;4;0;3
NHZ1078-15;Biotecnologia de Plantas;0;4;2
ESZM015-13;Blendas Poliméricas e Aditivação de Polímeros;4;0;4
NHZ1014-15;Botânica Econômica;2;2;2
MCTB008-13;Cálculo de Probabilidade;4;0;4
MCTB009-13;Cálculo Numérico;4;0;4
MCTB010-13;Cálculo Vetorial e Tensorial;4;0;4
ESZB002-13;Caracterização de Biomateriais;2;3;4
ESTM014-13;Caracterização de Materiais;2;2;4
ESTU003-13;Caracterização de Matrizes Ambientais;0;2;4
ESTU004-13;Cartografia e Geoprocessamento;1;3;3
ESHT002-13;Cartografia e Geoprocessamento para o Planejamento Territorial;2;3;3
ESZE019-13;Centrais Termoelétricas;2;0;4
ESZE023-13;Centrais Termoelétricas e Cogeração;4;0;4
ESZM022-13;Cerâmicas Especiais e Refratárias;4;0;4
NHZ2002-11;Ceticismo;4;0;4
ESHP004-13;Cidadania, Direitos e Desigualdades;4;0;4
ESZU001-13;Cidades, Globalização e Projetos Urbanos;3;0;3
ESTM004-13;Ciência dos Materiais;4;0;4
NHZ3001-09;Ciência na Antiguidade e Período Medieval;4;0;4
ESZP012-13;Ciência, Saúde, Educação e a Formação da Nacionalidade;4;0;4
BIR0603-15;Ciência, Tecnologia e Sociedade;3;0;4
ESZU022-13;Ciências Atmosféricas;4;0;4
ESTB005-13;Ciências dos Materiais Biocompatíveis;3;1;4
ESZS009-13;Cinemática e Dinâmica de Mecanismos;3;0;4
MCTA006-13;Circuitos Digitais;3;1;4
ESTO001-13;Circuitos Elétricos e Fotônica;3;1;5
ESTA002-13;Circuitos Elétricos I;3;2;4
ESTA004-13;Circuitos Elétricos II;3;2;4
ESZA008-13;Circuitos Hidráulicos e Pneumáticos;3;1;4
NHZ1015-15;Citogenética Básica;3;2;2
ESZG017-13;Clima e Cultura Organizacional;2;0;3
ESZU024-13;Clima Urbano;3;1;4
ESTU005-13;Climatologia;3;0;4
MCZA037-14;Combinatória Extremal;4;0;4
ESTS015-13;Combustão I;3;1;4
ESZS024-13;Combustão II;2;1;4
MCTA007-13;Compiladores;3;1;4
ESZU002-13;Compostagem;1;1;2
MCZA006-13;Computação Evolutiva e Conexionista;4;0;4
MCTA008-13;Computação Gráfica;3;1;4
MCTA009-13;Computadores, Ética e Sociedade;2;0;4
ESTI007-13;Comunicação Digital;3;1;4
BCM0506-15;Comunicação e Redes;3;0;4
ESTI015-13;Comunicações Móveis;3;1;4
ESTI012-13;Comunicações Multimídia;2;2;4
ESTI010-13;Comunicações Ópticas;3;1;4
MCZB006-13;Conexões e Fibrados;4;0;4
ESZA007-13;Confiabilidade de Componentes e Sistemas;3;0;4
ESZG002-13;Confiabilidade Industrial em Sistemas de Gestão;2;2;4
ESZR001-13;Conflitos no Ciberespaço: ativismo e guerra nas redes cibernéticas;4;0;4
ESHP005-13;Conflitos Sociais;4;0;4
NHZ3001-15;Conhecimento e Técnica: Perspectivas da Antiguidade e Período Medieval;4;0;4
ESZC002-13;Conhecimento na Economia: Abordagens e Interfaces com as Atividades de CT&I;4;0;4
NHZ1016-15;Conservação da Biodiversidade;4;0;4
ESHC002-13;Contabilidade Básica;4;0;4
ESZG023-13;Contabilidade para Engenharia;4;0;5
ESZU003-13;Contaminação e Remediação de Solos;3;0;1
ESZA021-13;Controle Avançado de Robôs;3;0;4
ESZA004-13;Controle Discreto;3;1;4
ESZA003-13;Controle Não-Linear;3;1;4
ESZA002-13;Controle Robusto Multivariável;3;1;4
NHZ3082-15;Cristalografia e Difração De Raios X;3;1;4
ESHP022-14;Cultura Política;4;0;4
ESZR002-13;Cultura, identidade e política na América Latina;4;0;4
ESTG001-13;Custos;4;2;9
ESZR003-13;De Mercosul , Unasul à Celac;4;0;4
ESHT003-13;Demografia;4;0;4
ESZR004-13;Desafios do Pré-Sal e a Inserção Internacional do Brasil;4;0;4
ESTS004-13;Desempenho de Aeronaves;4;0;4
NHZ4004-15;Desenho e Projeto em Química;3;0;4
ESZU004-13;Desenho Técnico Aplicado ao Planejamento Urbano-Ambiental;0;2;2
NHI5001-15;Desenvolvimento e Aprendizagem;4;0;4
MCZC003-15;Desenvolvimento e Degeneração do Sistema Nervoso;4;0;4
BHO0102-15;Desenvolvimento e Sustentabilidade;4;0;4
ESHT004-13;Desenvolvimento Econômico e Social no Brasil;4;0;4
ESZT002-13;Desenvolvimento Humano e Pobreza Urbana;4;0;4
ESTG002-13;Desenvolvimento Integrado do Produto;2;2;5
ESHC003-13;Desenvolvimento Sócio-Econômico;4;0;3
ESZM006-13;Design de Dispositivos;3;1;4
ESZP001-13;Desigualdades Regionais e Formação Socioespacial do Brasil;4;0;4
ESZM009-13;Diagramas de Fase;4;0;4
NHI5002-15;Didática;4;0;4
ESZS027-13;Dinâmica de Fluidos Computacional;3;0;4
ESZR005-13;Dinâmica dos Investimentos Produtivos Internacionais;4;0;4
ESTS005-13;Dinâmica e Controle de Veículos Espaciais;4;0;4
ESZR006-13;Dinâmica e desafios dos processos migratórios;4;0;4
ESTS001-13;Dinâmica I;4;0;5
ESZS006-13;Dinâmica II;4;0;4
ESZM008-13;Dinâmica Molecular e Monte Carlo;3;1;4
NHZ3002-15;Dinâmica Não Linear e Caos;4;0;4
ESZS007-13;Dinâmica Orbital;3;0;4
ESZP013-13;Dinâmicas Socioespaciais do ABC Paulista;4;0;4
ESHR002-13;Direito Internacional Público;4;0;4
ESTA001-13;Dispositivos Eletrônicos;3;2;4
ESZP014-13;Diversidade Cultural, Conhecimento Local e Políticas Públicas;4;0;4
NHT1072-15;Ecologia Comportamental;2;2;4
ESZU005-13;Ecologia do Ambiente Antropizado;2;0;4
NHT1073-15;Ecologia Vegetal;2;2;4
ESHC004-13;Econometria I;4;0;4
ESHC005-13;Econometria II;4;0;3
ESHC006-13;Econometria III;4;0;3
ESZX001-13;Economia Brasileira;3;0;3
ESHC007-13;Economia Brasileira Contemporânea I;4;0;3
ESHC008-13;Economia Brasileira Contemporânea II;4;0;3
ESHC009-13;Economia Brasileira Contemporânea III;3;0;4
ESTE003-13;Economia da Energia;2;0;4
ESZP015-13;Economia da Inovação Tecnológica;4;0;4
ESTG003-13;Economia de Empresas;2;0;3
ESZE046-13;Economia de Reatores Nucleares;3;0;3
ESZE057-13;Economia do Petróleo e do Gás Natural;4;0;4
ESZC003-13;Economia do Setor Público;4;0;4
ESHT005-13;Economia do Território;4;0;3
ESZC004-13;Economia do Trabalho;4;0;3
ESZC005-13;Economia e Instituições no Brasil Contemporâneo;4;0;3
ESHC010-13;Economia e Meio Ambiente;3;0;3
ESHC011-13;Economia Industrial;4;0;3
ESHC012-13;Economia Institucional I;4;0;3
ESZC006-13;Economia Institucional II;4;0;3
ESHC013-13;Economia Internacional I;4;0;4
ESHC014-13;Economia Internacional II;4;0;3
ESHC015-13;Economia Monetária;3;0;3
ESHR003-13;Economia Política da Segurança Alimentar Global;4;0;4
ESHR004-13;Economia Política Internacional da Energia;4;0;4
ESZC007-13;Economia Regional e Sociedade;4;0;4
ESZP046-14;Economia Solidária, Associativismo e Cooperativismo;4;0;4
ESHT006-13;Economia Urbana;4;0;4
ESZU006-13;Economia, Sociedade e Meio Ambiente;3;0;4
ESZU025-13;Educação Ambiental;2;2;4
NHT5004-15;Educação Científica, Sociedade e Cultura;4;0;4
NHZ5021-15;Educação em Saúde e Sexualidade;3;0;3
NHZ5020-15;Educação Inclusiva;2;0;2
NHZ3003-15;Efeitos Biológicos das Radiações;4;0;4
ESTG004-13;Elaboração, Análise e Avaliação de Projetos;3;1;5
MCZB007-13;Elementos Finitos;4;0;4
ESZM007-13;Elementos Finitos Aplicados em Materiais;3;1;4
ESZE049-13;Eletrificação Rural com Recursos Energéticos Renováveis;2;0;4
NHT4005-15;Eletroanalítica e Técnicas de Separação;2;4;8
NHT3070-15;Eletromagnetismo I;4;0;4
NHT3071-15;Eletromagnetismo II;4;0;4
NHZ3076-15;Eletromagnetismo III;4;0;4
ESTA007-13;Eletrônica Analógica Aplicada;3;2;4
ESZA011-13;Eletrônica de Potência I;3;2;4
ESZA012-13;Eletrônica de Potência II;3;2;4
ESTI002-13;Eletrônica Digital;4;2;4
NHT4006-15;Eletroquímica e Cinética Química;6;0;6
ESZG013-13;Empreendedorismo;2;2;2
MCZA007-13;Empreendedorismo e Desenvolvimento de Negócios;4;0;4
ESZE053-13;Energia de Sistemas Solares Térmicos;2;0;4
ESZE0105-15;Energia dos Oceanos;2;0;2
ESZT003-13;Energia e Abastecimento;4;0;4
NHZ5005-09;Energia e Meio Ambiente;2;1;3
ESZR007-13;Energia nuclear e Relações Internacionais;4;0;4
ESTE004-13;Energia, Meio Ambiente e Sociedade;4;0;5
ESZE001-13;Energia: Fontes e Tecnologias de Conversão;3;1;4
ESZB018-13;Engenharia Clínica I;3;2;4
ESZB019-13;Engenharia Clínica II;3;2;4
ESZE033-13;Engenharia de Biocombustíveis I;4;0;4
ESZE034-13;Engenharia de Biocombustíveis II;4;0;4
ESZM019-13;Engenharia de Cerâmicas;3;1;4
ESZE111-15;Engenharia de Combustíveis Fósseis;4;0;4
ESZE058-13;Engenharia de Completação;4;0;4
ESZM029-13;Engenharia de Filmes Finos;3;1;4
ESZM024-13;Engenharia de Metais;3;1;4
ESZE059-13;Engenharia de Perfuração;4;0;4
ESZM014-13;Engenharia de Polímeros;4;0;4
ESTB011-13;Engenharia de Reabilitação e Biofeedback;3;1;4
ESZE112-15;Engenharia de Recursos Hídricos;4;0;4
ESZE060-13;Engenharia de Reservatórios I;4;0;4
ESZE061-13;Engenharia de Reservatórios II;4;0;4
ESZI026-13;Engenharia de Sistemas de Comunicação e Missão Crítica;2;2;4
ESZE051-13;Engenharia de Sistemas Eólicos;2;2;4
ESZE050-13;Engenharia de Sistemas Fotovoltaicos;2;2;4
MCTA010-13;Engenharia de Software;4;0;4
ESZB006-13;Engenharia de Tecidos;3;2;4
ESTO002-13;Engenharia Econômica;2;1;3
ESTG005-13;Engenharia Econômica Aplicada a Sistemas de Gestão;4;0;5
ESZG031-13;Engenharia Humana;4;0;5
ESTG006-13;Engenharia Laboral;4;0;4
ESTG007-13;Engenharia Logística;2;2;4
ESZA018-13;Engenharia Óptica e Imagens;3;1;4
ESZE113-15;Engenharia Solar Térmica;4;0;4
ESZE047-13;Engenharia Unificada (Engenharia Nuclear);1;2;5
ESTO900-13;Engenharia Unificada I;0;3;5
ESTO901-13;Engenharia Unificada II;0;3;5
NHT1088-15;Ensino de Morfofisiologia Humana;4;0;4
ESZP018-13;Ensino Superior no Brasil: Trajetórias e Modelos Institucionais;4;0;4
MCTB011-13;Equações Diferenciais Ordinárias;4;0;4
MCTB012-13;Equações Diferenciais Parciais;4;0;4
NHZ3078-15;Equações Diferenciais Parciais Aplicadas;4;0;4
ESTB012-13;Equipamentos Médico-Hospitalares;3;2;4
ESZB013-13;Ergonomia;4;0;4
MCZC007-15;Ergonomia Cognitiva;4;0;4
ESZE062-13;Escoamento Multifásico de Petróleo;4;0;4
NHT4007-15;Espectroscopia;4;2;6
ESTS007-13;Estabilidade e Controle de Aeronaves;4;0;4
ESHR005-13;Estado e Desenvolvimento Econômico no Brasil Contemporâneo;4;0;4
BHO0101-15;Estado e Relações De Poder;4;0;4
ESTM001-13;Estado Sólido;4;0;4
ESTS900-13;Estágio Curricular I em Engenharia Aeroespacial;0;7;0
ESTU900-13;Estágio Curricular I em Engenharia Ambiental e Urbana;0;7;0
ESTB900-13;Estágio Curricular I em Engenharia Biomédica;0;7;0
ESTE900-13;Estágio Curricular I em Engenharia de Energia;0;7;0
ESTG900-13;Estágio Curricular I em Engenharia de Gestão;0;7;0
ESTI900-13;Estágio Curricular I em Engenharia de Informação;0;7;0
ESTA900-13;Estágio Curricular I em Engenharia de Instrumentação, Automação e Robótica;0;7;0
ESTM900-13;Estágio Curricular I em Engenharia de Materiais;0;7;0
ESTS901-13;Estágio Curricular II em Engenharia Aeroespacial;0;7;0
ESTU901-13;Estágio Curricular II em Engenharia Ambiental e Urbana;0;7;0
ESTB901-13;Estágio Curricular II em Engenharia Biomédica;0;7;0
ESTE901-13;Estágio Curricular II em Engenharia de Energia;0;7;0
ESTG901-13;Estágio Curricular II em Engenharia de Gestão;0;7;0
ESTI901-13;Estágio Curricular II em Engenharia de Informação;0;7;0
ESTA901-13;Estágio Curricular II em Engenharia de Instrumentação, Automação e Robótica;0;7;0
ESTM901-13;Estágio Curricular II em Engenharia de Materiais;0;7;0
MCTAO11-13;Estágio Supervisionado em Computação I;8;0;8
MCTAO12-13;Estágio Supervisionado em Computação II;8;0;8
MCTAO13-13;Estágio Supervisionado em Computação III;8;0;8
NHH2003-13;Estágio Supervisionado em Filosofia I;2;6;4
NHH2004-13;Estágio Supervisionado em Filosofia II;2;6;4
NHH2081-13;Estágio Supervisionado em Filosofia III;2;4;4
NHH2005-13;Estágio Supervisionado em Filosofia IV;2;4;4
NHH2006-13;Estágio Supervisionado em Filosofia V;2;4;4
MCTD001-13;Estágio Supervisionado em Matemática I (Nível Médio);0;7;0
MCTD002-13;Estágio Supervisionado em Matemática II (Nível Médio);0;7;0
MCTD003-13;Estágio Supervisionado em Matemática III (Nível Médio);0;7;0
MCTC015-13;Estágio Supervisionado em Neurociência I;0;10;2
MCTC016-13;Estágio Supervisionado em Neurociência II;0;10;2
MCTC017-13;Estágio Supervisionado em Neurociência III;0;10;2
ESTG011-13;Estatística Aplicada a Sistemas de Gestão;2;2;4
NHH2007-13;Estética;4;0;4
NHH2008-13;Estética: Perspectivas Contemporâneas;4;0;4
ESZG018-13;Estratégias de Comunicação Organizacional;4;0;5
NHZ3007-15;Estrutura Atômica e Molecular;4;0;4
BIK0102-15;Estrutura da Matéria;3;0;4
NHT4049-15;Estrutura da Matéria Avançada;2;4;8
BIQ0602-15;Estrutura e Dinâmica Social;3;0;4
ESHT007-13;Estudos do Meio Físico;4;0;4
BHQ0002-15;Estudos Étnico-Raciais;3;0;4
NHH2009-13;Ética;4;0;4
BHP0001-15;Ética e Justiça;4;0;4
NHH2010-13;Ética: Perspectivas Contemporâneas;4;0;4
NHZ1024-15;Etnofarmacologia;2;1;2
NHT1062-15;Evolução;4;0;4
NHZ3008-15;Evolução da Física;4;0;4
MCTB013-13;Evolução dos Conceitos Matemáticos;4;0;4
NHT1067-15;Evolução e Diversidade de Plantas I;2;2;2
NHT1068-15;Evolução e Diversidade de Plantas II;2;4;4
BIL0304-15;Evolução e Diversificação da Vida na Terra;3;0;4
NHZ1026-15;Evolução Molecular;3;0;3
NHZ2011-11;Existencialismo;4;0;4
NHT4015-15;Experimentação e Ensino de Química;0;3;4
MCTB014-13;Extensões Algébricas;4;0;4
NHZ1027-15;Farmacologia;4;2;4
ESHP007-13;Federalismo e Políticas Públicas;4;0;4
NHH2012-13;Fenomenologia e Filosofia Hermenêutica;4;0;4
ESZO001-15;Fenômenos de Transporte;4;0;4
BCJ0203-15;Fenômenos Eletromagnéticos;4;1;6
BCJ0204-15;Fenômenos Mecânicos;4;1;6
BCJ0205-15;Fenômenos Térmicos;3;1;4
NHZ4068-15;Fermentação Industrial;2;2;2
NHZ2013-11;Filosofia Brasileira: História e Problemas;4;0;4
NHZ2014-11;Filosofia da Ciência Pós-kuhniana;4;0;4
NHH2015-13;Filosofia da Ciência: em torno à concepção ortodoxa;4;0;4
NHH2016-13;Filosofia da Ciência: o debate Popper-Kuhn e seus desdobramentos;4;0;4
NHH2017-13;Filosofia da Educação;4;0;4
NHZ2018-11;Filosofia da Educação: perspectivas contemporâneas;4;0;4
NHH2019-13;Filosofia da Linguagem;4;0;4
NHH2020-13;Filosofia da Lógica;4;0;4
NHZ2021-11;Filosofia da Mente;4;0;4
NHZ2022-11;Filosofia da Natureza, Mecanicismo e Cosmologia;4;0;4
NHH2023-13;Filosofia do Ensino de Filosofia;4;0;4
NHZ2024-11;Filosofia Experimental e Mecanicismo;4;0;4
NHZ2025-11;Filosofia Latino-Americana: História e Problemas;4;0;4
NHH2026-13;Filosofia no Brasil e na América Latina;4;0;4
NHZ2027-11;Filosofia no Ensino Fundamental;4;0;4
NHH2028-13;Filosofia Política;4;0;4
NHH2029-13;Filosofia Política: perspectivas contemporâneas;4;0;4
ESZI002-13;Filtragem Adaptativa;3;1;4
ESHC016-13;Finanças Corporativas;4;0;4
ESZC008-13;Finanças I (Apreçamento de Ativos);4;0;3
ESZC009-13;Finanças II (Apreçamento de Ativos);4;0;3
ESHC017-13;Finanças Públicas;4;0;4
ESZG025-13;Finanças, Gestão e Administração Financeira;4;0;5
NHZ3010-15;Física Computacional;3;1;4
ESZE040-13;Física de Reatores Nucleares I;3;0;5
ESZE041-13;Física de Reatores Nucleares II;3;0;5
NHZ3011-15;Física de Semicondutores;3;1;4
NHT3012-15;Física do Contínuo;3;1;4
NHZ3084-15;Física do Meio Ambiente;4;0;4
NHT3064-15;Física Ondulatória;3;1;4
BCK0103-15;Física Quântica;3;0;4
NHT3013-13;Física Térmica;4;0;4
NHT4075-15;Físico-Química Experimental;0;4;6
NHT1069-15;Fisiologia Vegetal I;4;2;3
NHT1070-15;Fisiologia Vegetal II;2;2;2
NHZ3014-15;Fluidos Quânticos;4;0;4
ESTE002-13;Fontes Não-Renováveis de Energia;4;0;4
ESTE001-13;Fontes Renováveis de Energia;4;0;4
BHO1335-15;Formação do Sistema Internacional;4;0;4
ESHC018-13;Formação Econômica do Brasil;4;0;4
ESHR006-13;Formação Histórica da America Latina;4;0;4
ESHP023-14;Formação Histórica do Brasil Contemporâneo;4;0;4
MCZB008-13;Formas Diferenciais;4;0;4
ESTA006-13;Fotônica;3;1;4
BCN0402-15;Funções de uma Variável;4;0;6
BCN0407-15;Funções de Várias Variáveis;4;0;4
MCTB015-13;Funções de Variáveis Complexas;6;0;5
NHT4017-15;Funções e Reações Orgânicas;4;0;6
NHZ2030-11;Fundamentos da Lógica Modal;4;0;4
NHZ3019-15;Fundamentos da Mecânica dos Fluidos;4;0;4
NHZ3020-15;Fundamentos da Relatividade Geral;4;0;4
MCTD005-13;Fundamentos de Álgebra;4;0;4
MCTD006-13;Fundamentos de Análise;4;0;4
ESZE067-14;Fundamentos de Conversão de Energia Elétrica;4;0;4
ESTO003-13;Fundamentos de Desenho e Projeto;1;3;4
ESZU007-13;Fundamentos de Economia e Sociologia Urbana;3;0;3
ESTU022-13;Fundamentos de Geologia para Engenharia;3;1;3
MCTD007-13;Fundamentos de Geometria;4;0;4
NHT1055-15;Fundamentos de Imunologia;2;2;4
ESTE006-13;Fundamentos de Máquinas Elétricas;2;2;5
ESZE071-14;Fundamentos de Máquinas Térmicas;2;0;4
ESZI017-13;Fundamentos de Processamento Gráfico;3;1;4
ESTA013-13;Fundamentos de Robótica;3;1;4
ESZE068-14;Fundamentos de Sistemas Dinâmicos;4;0;4
NHT1061-15;Genética I;4;2;4
NHT1057-15;Genética II;2;2;4
ESHR007-14;Geografia Política;4;0;4
NHT1030-15;Geologia e Paleontologia;2;2;4
BCN0404-15;Geometria Analítica;3;0;6
MCTB016-13;Geometria Diferencial I;4;0;4
MCTB017-13;Geometria Diferencial II;4;0;4
MCZB009-13;Geometria não Euclidiana;4;0;4
MCTD009-13;Geometria Plana e Construções Geométricas;4;0;4
ESZU008-13;Geomorfologia Descritiva;2;2;3
ESTU006-13;Geotecnia;2;2;4
ESZU009-13;Geotecnia Aplicada ao Planejamento Urbano-Ambiental;3;0;3
ESZE052-13;Geração Distribuída;2;0;3
ESZE021-13;Geração e Distribuição de Vapor;3;1;4
ESTG008-13;Gerência de Ativos;2;0;3
ESZI007-13;Gerenciamento e Interoperabilidade de Redes;3;1;4
ESZU010-13;Gestão Ambiental na Indústria;3;0;3
ESZG014-13;Gestão da Inovação;4;0;4
ESZG009-13;Gestão da Qualidade, Segurança, Saúde e Ambiental Aplicada em Projetos;2;0;4
ESZG024-13;Gestão de Custos Avançada;4;0;5
ESTG009-13;Gestão de Operações;4;0;5
ESZP022-13;Gestão de Projetos Culturais;4;0;4
MCZA016-15;Gestão de Projetos de Software;4;0;4
ESZG026-13;Gestão de Riscos em Sistemas de Gestão;4;0;5
ESZG019-13;Gestão Estratégica e Organizacional;2;0;2
ESZU011-13;Gestão Urbano-Ambiental;3;1;4
ESHR008-13;Globalização e os processos de Integração Regional;4;0;4
ESHT008-13;Governança Pública, Democracia e Políticas no Território;4;0;4
ESHP009-13;Governo, Burocracia e Administração Pública;4;0;4
MCZB010-13;Grupo Fundamental e Espaço de Recobrimento;4;0;4
MCTB018-13;Grupos;4;0;4
MCZB011-13;Grupos de Lie e Simetrias;4;0;4
ESTU007-13;Habitação e Assentamentos Humanos;3;1;5
ESZT004-13;Habitação e Assentamentos Precários;4;0;4
ESTU008-13;Hidráulica;2;2;4
ESZE048-13;Hidrogênio e Células a Combustível;4;0;4
ESTU009-13;Hidrologia;3;1;3
NHT1054-15;Histologia e Embriologia;4;2;4
NHZ2031-11;História da Astronomia;4;0;4
ESHT009-13;História da Cidade e do Urbanismo;4;0;4
NHZ5016-15;História da Educação;4;0;4
NHH2032-13;História da Filosofia Antiga: Aristóteles e o Aristotelismo;4;0;4
NHH2033-13;História da Filosofia Antiga: Platão e o Platonismo;4;0;4
NHH2034-13;História da Filosofia Contemporânea: o século XIX;4;0;4
NHH2035-13;História da Filosofia Contemporânea: o Século XX;4;0;4
NHZ2036-11;História da Filosofia da Antiguidade Tardia;4;0;4
NHZ2037-11;História da Filosofia Medieval: Escolas Franciscanas e Nominalismo;4;0;4
NHH2038-13;História da Filosofia Medieval: Patrística e Escolástica;4;0;4
NHZ2039-11;História da Filosofia Moderna: o Idealismo alemão;4;0;4
NHH2040-13;História da Filosofia Moderna: o Iluminismo e seus desdobramentos;4;0;4
NHH2041-13;História da Filosofia Moderna: perspectivas racionalistas;4;0;4
NHZ2042-11;História da Linguagem;4;0;4
MCTD010-13;História da Matemática;4;0;4
ESHR024-14;História da Política Externa Brasileira;4;0;4
NHZ2043-11;História da Sociedade Contemporânea;4;0;4
NHZ2044-11;História das Ciências no Brasil;4;0;4
NHZ1031-15;História das Idéias Biológicas;2;0;4
ESZR008-13;História de atuação do Brasil nos processos de integração sul-americana;4;0;4
ESHC019-13;História do Pensamento Econômico;4;0;4
ESHR026-14;História do Terceiro Mundo;4;0;4
ESZU012-13;História do Urbanismo;2;0;4
NHZ2045-11;História e Filosofia da Ciência;4;0;4
NHZ5017-15;História e Filosofia das Ciências e o Ensino de Ciências;4;0;2
